"copyright";"date";"explanation";"hdurl";"media_type";"service_version";"title";"url"
"Steve Mazlin";"2017-02-02";"An example of violence on a cosmic scale, enormous elliptical galaxy NGC 1316 lies about 75 million light-years away toward Fornax, the southern constellation of the Furnace. Investigating the startling sight, astronomers suspect the giant galaxy of colliding with smaller neighbor NGC 1317 seen just above, causing far flung loops and shells of stars. Light from their close encounter would have reached Earth some 100 million years ago. In the deep, sharp image, the central regions of NGC 1316 and NGC 1317 appear separated by over 100,000 light-years. Complex dust lanes visible within also indicate that NGC 1316 is itself the result of a merger of galaxies in the distant past. Found on the outskirts of the Fornax galaxy cluster, NGC 1316 is known as Fornax A. One of the visually brightest of the Fornax cluster galaxies it is one of the strongest and largest radio sources with radio emission extending well beyond this telescopic field-of-view, over several degrees on the sky.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1702/NGC1316_MazlinKellerMenaker.jpg";"image";"v1";"NGC 1316: After Galaxies Collide";"http://apod.nasa.gov/apod/image/1702/NGC1316_MazlinKellerMenaker1024d.jpg"
"";"2017-01-31";"Are you planning to see the American Eclipse on August 21? A few hours after sunrise, a rare total eclipse of the Sun will be visible along a narrow path across the USA. Those only near the path will see a partial eclipse.  Although some Americans live right in path of totality, surely many more will be able to get there after a well-planned drive.  One problem with eclipses, though, is that clouds sometimes get in the way.  To increase your clear-viewing odds, you might consult the featured map and find a convenient destination with a historically low chance (more blue) of thick clouds overhead during totality. Given the large fraction of Americans carrying camera-equipped smartphones, this American Eclipse may turn out to be the most photographed event in the history of the world.   Socialize: Plan an eclipse party!";"http://apod.nasa.gov/apod/image/1701/EclipseClouds_MODISanderson_1415.jpg";"image";"v1";"Where to See the American Eclipse";"http://apod.nasa.gov/apod/image/1701/EclipseClouds_MODISanderson_1080.jpg"
"";"2017-01-30";"To some, it may look like a cat's eye.  The alluring Cat's Eye nebula, however, lies three thousand light-years from Earth across interstellar space. A classic planetary nebula, the Cat's Eye (NGC 6543) represents a final, brief yet glorious phase in the life of a sun-like star. This nebula's dying central star may have produced the simple, outer pattern of dusty concentric shells by shrugging off outer layers in a series of regular convulsions. But the formation of the beautiful, more complex inner structures is not well understood. Seen so clearly in this digitally reprocessed Hubble Space Telescope image, the truly cosmic eye is over half a light-year across. Of course, gazing into this Cat's Eye, astronomers may well be seeing the fate of our sun, destined to enter its own planetary nebula phase of evolution ... in about 5 billion years.";"http://apod.nasa.gov/apod/image/1701/CatsEye_HubbleVillaVerde_800.jpg";"image";"v1";"The Cat's Eye Nebula from Hubble";"http://apod.nasa.gov/apod/image/1701/CatsEye_HubbleVillaVerde_960.jpg"
"Terrastro";"2017-01-29";"Why would the sky glow red? Aurora.  A solar storm in 2012, emanating mostly from active sunspot region 1402, showered particles on the Earth that excited oxygen atoms high in the Earth's atmosphere. As the excited element's electrons fell back to their ground state, they emitted a red glow. Were oxygen atoms lower in Earth's atmosphere excited, the glow would be predominantly green.  Pictured here, this high red aurora is visible just above the horizon last week near Flinders, Victoria, Australia.  The sky that night, however, also glowed with more familiar but more distant objects, including the central disk of our Milky Way Galaxy on the left, and the neighboring Large and Small Magellanic Cloud galaxies on the right. A time-lapse video highlighting auroras visible that night puts the picturesque scene in context. Why the sky did not also glow green remains unknown.";"http://apod.nasa.gov/apod/image/1701/redaurora_cherney_1600.jpg";"image";"v1";"Red Aurora Over Australia";"http://apod.nasa.gov/apod/image/1701/redaurora_cherney_960_annotated.jpg"
"";"2017-01-28";"Over 150 light-years across, this cosmic maelstrom of gas and dust is not too far away. It lies south of the Tarantula Nebula in our satellite galaxy the Large Magellanic Cloud a mere 180,000 light-years distant. Massive stars have formed within. Their energetic radiation and powerful stellar winds sculpt the gas and dust and power the glow of this HII region, entered into the Henize catalog of emission stars and nebulae in the Magellanic Clouds as N159. The bright, compact, butterfly-shaped nebula above and left of center likely contains massive stars in a very early stage of formation. Resolved for the first time in Hubble images, the compact blob of ionized gas has come to be known as the Papillon Nebula.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/potw1636aN159_HST_2048.jpg";"image";"v1";"N159 in the Large Magellanic Cloud";"http://apod.nasa.gov/apod/image/1701/potw1636aN159_HST_1024.jpg"
"John Bell";"2017-01-27";"Now the brilliant ""star"" in planet Earth's evening skies, Venus is captured in this creative astrophotograph. Taken with a close-focusing lens on January 18 from Milton Keynes, UK, it shows multiple images of the sky above the western horizon shortly after sunset. The images were created by water drops on a glass pane fixed to a tree. Surface tension has drawn the water drops into simple lens-like shapes. Refracting light, the drops create images that are upside-down, so the scene has been rotated to allow comfortable right-side up viewing of a macro-multiple-skyscape.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/VenusBubbleJohnBell.jpg";"image";"v1";"Venus Through Water Drops";"http://apod.nasa.gov/apod/image/1701/VenusBubbleJohnBell1024.jpg"
"";"2017-01-26";"Launched last November 19 from Cape Canaveral Air Force Station, the satellite now known as GOES-16 can now observe planet Earth from a geostationary orbit 22,300 miles above the equator. Its Advanced Baseline Imager captured this contrasting view of Earth and a gibbous Moon on January 15. The stark and airless Moon is not really the focus of GOES-16, though. Capable of providing a high resolution full disk image of Earth every 15 minutes in 16 spectral channels, the new generation satellite's instrumentation is geared to provide sharper, more detailed views of Earth's dynamic weather systems and enable more accurate weather forecasting. Like previous GOES weather satellites, GOES-16 will use the moon over our fair planet as a calibration target.  Participate: Take an Aesthetics & Astronomy Survey";"http://apod.nasa.gov/apod/image/1701/ab_moon_from_geo_orbit_med_res_jan_15_2017.jpg";"image";"v1";"GOES-16: Moon over Planet Earth";"http://apod.nasa.gov/apod/image/1701/ab_moon_from_geo_orbit_med_res_jan_15_2017_1024.jpg"
"";"2017-01-25";"Cassini is being prepared to dive into Saturn. The robotic spacecraft that has been orbiting and exploring Saturn for over a decade will end its mission in September with a spectacular atmospheric plunge.  Pictured here is a diagram of Cassini's remaining orbits, each taking about one week.  Cassini is scheduled to complete a few months of orbits that will take it just outside Saturn's outermost ring F.  Then, in April, Titan will give Cassini a gravitational pull into Proximal orbits, the last of which, on September 15, will impact Saturn and cause the spacecraft to implode and melt.  Cassini's Grand Finale orbits are designed to record data and first-ever views from inside the rings -- between the rings and planet -- as well as some small moons interspersed in the rings. Cassini's demise is designed to protect any life that may occur around Saturn or its moons from contamination by Cassini itself.   Free Download: APOD 2017 Calendar: NASA Images";"http://apod.nasa.gov/apod/image/1701/GrandFinale_Cassini_1600.jpg";"image";"v1";"Cassini's Grand Finale Tour at Saturn";"http://apod.nasa.gov/apod/image/1701/GrandFinale_Cassini_960.jpg"
"MTM observatory, Italy";"2017-01-24";"In the vast Orion Molecular Cloud complex, several bright blue nebulas are particularly apparent.  Pictured here are two of the most prominent reflection nebulas - dust clouds lit by the reflecting light of bright embedded stars.  The more famous nebula is M78, in the image center, cataloged over 200 years ago.  To its left is the lesser known NGC 2071.  Astronomers continue to study these reflection nebulas to better understand how interior stars form.  The Orion complex lies about 1500 light-years distant, contains the Orion and Horsehead nebulas, and covers much of the constellation of Orion.   Almost Hyperspace: Random APOD Generator";"http://apod.nasa.gov/apod/image/1701/M78_Tiziano_1300.jpg";"image";"v1";"M78 and Orion Dust Reflections";"http://apod.nasa.gov/apod/image/1701/M78_Tiziano_960.jpg"
"Jeff Dai";"2017-01-23";"If you can find Orion, you might be able to find the Winter Hexagon.  The Winter Hexagon involves some of the brightest stars visible, together forming a large and easily found pattern in the winter sky of Earth's northern hemisphere.  The stars involved can usually be identified even in the bright night skies of a big city, although here they appeared recently in dark skies above the Manla Reservoir in Tibet, China.  The six stars that compose the Winter Hexagon are Aldebaran, Capella, Castor (and Pollux), Procyon, Rigel, and Sirius.  Here, the band of our Milky Way Galaxy runs through the center of the Winter Hexagon, while the Pleiades open star cluster is visible just above. The Winter Hexagon asterism engulfs several constellations including much of the iconic steppingstone Orion.   Follow APOD on: Facebook,  Google Plus, or  Twitter";"http://apod.nasa.gov/apod/image/1701/WinterHexagon_Dai_1000.jpg";"image";"v1";"Winter Hexagon over Manla Reservoir";"http://apod.nasa.gov/apod/image/1701/WinterHexagon_Dai_1000_annotated.jpg"
